"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"06/01/2024 20:00:00 - 06/01/2024 21:00:00","BZN|IE(SEM)","Without sequence","135.81","",""
"06/01/2024 21:00:00 - 06/01/2024 22:00:00","BZN|IE(SEM)","Without sequence","110.36","",""
"06/01/2024 22:00:00 - 06/01/2024 23:00:00","BZN|IE(SEM)","Without sequence","106.95","",""
"06/01/2024 23:00:00 - 07/01/2024 00:00:00","BZN|IE(SEM)","Without sequence","100.0","",""
"07/01/2024 00:00:00 - 07/01/2024 01:00:00","BZN|IE(SEM)","Without sequence","101.01","",""
"07/01/2024 01:00:00 - 07/01/2024 02:00:00","BZN|IE(SEM)","Without sequence","116.65","",""
"07/01/2024 02:00:00 - 07/01/2024 03:00:00","BZN|IE(SEM)","Without sequence","117.21","",""
"07/01/2024 03:00:00 - 07/01/2024 04:00:00","BZN|IE(SEM)","Without sequence","113.18","",""
"07/01/2024 04:00:00 - 07/01/2024 05:00:00","BZN|IE(SEM)","Without sequence","109.01","",""
"07/01/2024 05:00:00 - 07/01/2024 06:00:00","BZN|IE(SEM)","Without sequence","103.8","",""
"07/01/2024 06:00:00 - 07/01/2024 07:00:00","BZN|IE(SEM)","Without sequence","93.89","",""
"07/01/2024 07:00:00 - 07/01/2024 08:00:00","BZN|IE(SEM)","Without sequence","90.34","",""
"07/01/2024 08:00:00 - 07/01/2024 09:00:00","BZN|IE(SEM)","Without sequence","90.85","",""
"07/01/2024 09:00:00 - 07/01/2024 10:00:00","BZN|IE(SEM)","Without sequence","95.98","",""
"07/01/2024 10:00:00 - 07/01/2024 11:00:00","BZN|IE(SEM)","Without sequence","99.43","",""
"07/01/2024 11:00:00 - 07/01/2024 12:00:00","BZN|IE(SEM)","Without sequence","111.51","",""
"07/01/2024 12:00:00 - 07/01/2024 13:00:00","BZN|IE(SEM)","Without sequence","130.1","",""
"07/01/2024 13:00:00 - 07/01/2024 14:00:00","BZN|IE(SEM)","Without sequence","135.9","",""
"07/01/2024 14:00:00 - 07/01/2024 15:00:00","BZN|IE(SEM)","Without sequence","139.3","",""
"07/01/2024 15:00:00 - 07/01/2024 16:00:00","BZN|IE(SEM)","Without sequence","129.25","",""
"07/01/2024 16:00:00 - 07/01/2024 17:00:00","BZN|IE(SEM)","Without sequence","141.24","",""
"07/01/2024 17:00:00 - 07/01/2024 18:00:00","BZN|IE(SEM)","Without sequence","159.82","",""
"07/01/2024 18:00:00 - 07/01/2024 19:00:00","BZN|IE(SEM)","Without sequence","205.0","",""
"07/01/2024 19:00:00 - 07/01/2024 20:00:00","BZN|IE(SEM)","Without sequence","195.0","",""
"07/01/2024 20:00:00 - 07/01/2024 21:00:00","BZN|IE(SEM)","Without sequence","150.9","",""
"07/01/2024 21:00:00 - 07/01/2024 22:00:00","BZN|IE(SEM)","Without sequence","130.0","",""
"07/01/2024 22:00:00 - 07/01/2024 23:00:00","BZN|IE(SEM)","Without sequence","105.13","",""
"07/01/2024 23:00:00 - 08/01/2024 00:00:00","BZN|IE(SEM)","Without sequence","92.99","",""
"08/01/2024 00:00:00 - 08/01/2024 01:00:00","BZN|IE(SEM)","Without sequence","108.93","",""
"08/01/2024 01:00:00 - 08/01/2024 02:00:00","BZN|IE(SEM)","Without sequence","116.69","",""
"08/01/2024 02:00:00 - 08/01/2024 03:00:00","BZN|IE(SEM)","Without sequence","106.64","",""
"08/01/2024 03:00:00 - 08/01/2024 04:00:00","BZN|IE(SEM)","Without sequence","99.6","",""
"08/01/2024 04:00:00 - 08/01/2024 05:00:00","BZN|IE(SEM)","Without sequence","97.92","",""
"08/01/2024 05:00:00 - 08/01/2024 06:00:00","BZN|IE(SEM)","Without sequence","97.22","",""
"08/01/2024 06:00:00 - 08/01/2024 07:00:00","BZN|IE(SEM)","Without sequence","97.93","",""
"08/01/2024 07:00:00 - 08/01/2024 08:00:00","BZN|IE(SEM)","Without sequence","95.63","",""
"08/01/2024 08:00:00 - 08/01/2024 09:00:00","BZN|IE(SEM)","Without sequence","110.0","",""
"08/01/2024 09:00:00 - 08/01/2024 10:00:00","BZN|IE(SEM)","Without sequence","119.0","",""
"08/01/2024 10:00:00 - 08/01/2024 11:00:00","BZN|IE(SEM)","Without sequence","117.0","",""
"08/01/2024 11:00:00 - 08/01/2024 12:00:00","BZN|IE(SEM)","Without sequence","109.97","",""
"08/01/2024 12:00:00 - 08/01/2024 13:00:00","BZN|IE(SEM)","Without sequence","106.33","",""
"08/01/2024 13:00:00 - 08/01/2024 14:00:00","BZN|IE(SEM)","Without sequence","101.25","",""
"08/01/2024 14:00:00 - 08/01/2024 15:00:00","BZN|IE(SEM)","Without sequence","103.86","",""
"08/01/2024 15:00:00 - 08/01/2024 16:00:00","BZN|IE(SEM)","Without sequence","107.46","",""
"08/01/2024 16:00:00 - 08/01/2024 17:00:00","BZN|IE(SEM)","Without sequence","119.9","",""
"08/01/2024 17:00:00 - 08/01/2024 18:00:00","BZN|IE(SEM)","Without sequence","136.26","",""
"08/01/2024 18:00:00 - 08/01/2024 19:00:00","BZN|IE(SEM)","Without sequence","143.0","",""
"08/01/2024 19:00:00 - 08/01/2024 20:00:00","BZN|IE(SEM)","Without sequence","130.93","",""
"08/01/2024 20:00:00 - 08/01/2024 21:00:00","BZN|IE(SEM)","Without sequence","114.31","",""
"08/01/2024 21:00:00 - 08/01/2024 22:00:00","BZN|IE(SEM)","Without sequence","100.0","",""
"08/01/2024 22:00:00 - 08/01/2024 23:00:00","BZN|IE(SEM)","Without sequence","95.64","",""
"08/01/2024 23:00:00 - 09/01/2024 00:00:00","BZN|IE(SEM)","Without sequence","88.11","",""
"09/01/2024 00:00:00 - 09/01/2024 01:00:00","BZN|IE(SEM)","Without sequence","86.11","",""
"09/01/2024 01:00:00 - 09/01/2024 02:00:00","BZN|IE(SEM)","Without sequence","86.45","",""
"09/01/2024 02:00:00 - 09/01/2024 03:00:00","BZN|IE(SEM)","Without sequence","85.18","",""
